SPY US Equity,,,
Dates,PX_OPEN,PX_LAST,PX_VOLUME
1/18/1995,47,46.984,120500
1/19/1995,46.828,46.719,139100
1/20/1995,46.656,46.547,78700
1/23/1995,46.234,46.688,53700
1/24/1995,46.672,46.75,32400
1/25/1995,46.516,46.875,15700
1/26/1995,46.844,46.922,9800
1/27/1995,47.234,47.109,91200
1/30/1995,47.016,46.906,26600
1/31/1995,47,47.094,127500
2/1/1995,47.156,47.078,380200
2/2/1995,47.063,47.359,131700
2/3/1995,47.656,48.031,405100
2/6/1995,48.016,48.234,405400
2/7/1995,48.313,48.297,707900
2/8/1995,48.234,48.297,521500
2/9/1995,48.219,48.297,405700
2/10/1995,48.234,48.359,148300
2/13/1995,48.328,48.375,79700
2/14/1995,48.531,48.438,170200
2/15/1995,48.438,48.703,431500
2/16/1995,48.641,48.641,99300
2/17/1995,48.594,48.453,49100
2/21/1995,48.453,48.438,168000
2/22/1995,48.484,48.797,386400
2/23/1995,48.984,48.875,402800
2/24/1995,48.938,49,307600
2/27/1995,48.859,48.609,280900
2/28/1995,48.563,49.016,493500
3/1/1995,48.969,48.703,247300
3/2/1995,48.688,48.766,488600
3/3/1995,48.609,48.781,290900
3/6/1995,48.453,48.813,85700
3/7/1995,48.641,48.438,180900
3/8/1995,48.516,48.563,155900
3/9/1995,48.547,48.547,62900
3/10/1995,48.594,49.266,192100
3/13/1995,49.234,49.219,261300
3/14/1995,49.359,49.578,223300
3/15/1995,49.5,49.484,278500
3/16/1995,49.438,49.781,20400
3/17/1995,49.469,49.563,89900
3/20/1995,49.625,49.563,91700
3/21/1995,49.563,49.438,109400
3/22/1995,49.531,49.484,74900
3/23/1995,49.422,49.516,220500
3/24/1995,49.672,50.219,134000
3/27/1995,50.297,50.422,132100
3/28/1995,50.297,50.422,121900
3/29/1995,50.375,50.406,246100
3/30/1995,50.516,50.313,301400
3/31/1995,49.922,50.109,541500
4/3/1995,50.094,50.234,193300
4/4/1995,50.25,50.563,66900
4/5/1995,50.453,50.563,107200
4/6/1995,50.688,50.75,352500
4/7/1995,50.859,50.703,361400
4/10/1995,50.625,50.797,285400
4/11/1995,50.922,50.625,250300
4/12/1995,50.781,50.797,150400
4/13/1995,50.891,51.078,243400
4/17/1995,51.266,50.781,178900
4/18/1995,50.828,50.609,329500
4/19/1995,50.609,50.563,223000
4/20/1995,50.703,50.641,207900
4/21/1995,50.656,50.891,145000
4/24/1995,50.859,51.484,169000
4/25/1995,51.406,51.344,293200
4/26/1995,51.25,51.391,204400
4/27/1995,51.313,51.516,502200
4/28/1995,51.5,51.594,158800
5/1/1995,51.547,51.453,518700
5/2/1995,51.5,51.563,228400
5/3/1995,51.734,52.281,724700
5/4/1995,52.344,52.25,371400
5/5/1995,52.469,52.188,314900
5/8/1995,52.141,52.563,183100
5/9/1995,52.781,52.516,180600
5/10/1995,52.656,52.578,330300
5/11/1995,52.656,52.719,351700
5/12/1995,52.516,52.75,94600
5/15/1995,52.891,53,147200
5/16/1995,52.984,53.031,266600
5/17/1995,53.031,52.828,184200
5/18/1995,52.734,52.063,577800
5/19/1995,51.984,52.094,363900
5/22/1995,52.266,52.672,216000
5/23/1995,52.766,53.156,136800
5/24/1995,53.25,53.125,370800
5/25/1995,52.969,53.172,379900
5/26/1995,52.969,52.563,518600
5/30/1995,52.688,52.547,61500
5/31/1995,52.453,53.641,564500
6/1/1995,53.406,53.5,810100
6/2/1995,53.281,53.547,112900
6/5/1995,53.547,53.875,257200
6/6/1995,53.828,53.781,165800
6/7/1995,53.672,53.5,41900
6/8/1995,53.484,53.375,141100
6/9/1995,53.266,53.063,304900
6/12/1995,53.234,53.359,378500
6/13/1995,53.609,53.938,120000
6/14/1995,53.859,53.891,389400
6/15/1995,53.969,54.125,274500
6/16/1995,53.703,53.969,325100
6/19/1995,54.125,54.578,134600
6/20/1995,54.422,54.438,287800
6/21/1995,54.609,54.406,158200
6/22/1995,54.641,55.125,297000
6/23/1995,55,55.016,315400
6/26/1995,54.859,54.359,132900
6/27/1995,54.344,54.25,127700
6/28/1995,54.25,54.531,212600
6/29/1995,54.531,54.438,89200
6/30/1995,54.547,54.406,714100
7/3/1995,54.469,54.609,9500
7/5/1995,54.766,54.813,409300
7/6/1995,54.828,55.516,202500
7/7/1995,55.406,55.766,481700
7/10/1995,55.813,55.797,400400
7/11/1995,55.75,55.531,419600
7/12/1995,55.641,56.219,203400
7/13/1995,56.141,56.094,215600
7/14/1995,55.797,56.047,543700
7/17/1995,56.125,56.359,171500
7/18/1995,56.266,55.875,221200
7/19/1995,55.656,55.266,486600
7/20/1995,55.328,55.469,318900
7/21/1995,55.422,55.406,94000
7/24/1995,55.484,55.813,108400
7/25/1995,55.875,56.234,107400
7/26/1995,56.203,56.188,167800
7/27/1995,56.453,56.656,187700
7/28/1995,56.703,56.297,415600
7/31/1995,56.344,56.156,342500
8/1/1995,56.234,56.063,141000
8/2/1995,56.391,55.938,240400
8/3/1995,55.547,55.922,1193600
8/4/1995,56.031,55.984,240500
8/7/1995,56.109,56.109,193100
8/8/1995,56.141,56.109,951900
8/9/1995,56.297,56.094,107100
8/10/1995,56.156,55.969,280800
8/11/1995,55.922,55.656,257200
8/14/1995,55.797,56.156,254800
8/15/1995,56.141,56.047,44400
8/16/1995,56,56.203,374900
8/17/1995,56.234,56.109,353800
8/18/1995,56.391,56.172,85400
8/21/1995,56.406,56.016,266700
8/22/1995,56.094,56.125,220200
8/23/1995,56.172,55.922,176500
8/24/1995,55.938,55.984,167400
8/25/1995,56.078,56.297,195000
8/28/1995,56.453,56.094,293000
8/29/1995,56.156,56.234,1133100
8/30/1995,56.281,56.359,437400
8/31/1995,56.344,56.406,491900
9/1/1995,56.391,56.656,629900
9/5/1995,56.828,57.188,272200
9/6/1995,57.234,57.297,214500
9/7/1995,57.359,57.328,258800
9/8/1995,57.547,57.547,107300
9/11/1995,57.641,57.703,260700
9/12/1995,57.719,57.969,139500
